_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3648,1979212,16231144,28,F,O,2016-12-12T00:21:00,"500 Block Market ST Pittsburgh, PA 15222",5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,"500 Block Market ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.00203404,40.44137448
5637,1981648,17029840,18,F,O,2017-02-17T20:39:00,"5400 Block Hobart ST Pittsburgh, PA 15217","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","5400 Block Hobart ST Pittsburgh, PA 15217",Squirrel Hill South,4,1413,5,3,-79.93237599,40.43179872
5555,1981545,17026717,19,F,O,2017-02-13T17:00:00,"400 Block Maple View CT Pittsburgh, PA 15216",9501 Bench Warrant,"400 Block Maple View CT Pittsburgh, PA 15216",Banksville,6,2023,2,5,-80.03703433,40.41612726
6487,1982699,17044539,31,F,O,2017-03-11T18:05:00,"1500 Block E Carson ST Pittsburgh, PA 15203",5104 Resisting Arrest or Other Law Enforcement. / 5502 Failure of Disorderly Persons to Disperse  / 5503 Disorderly Conduct. / 5507 Obstructing Highways and Passages.,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98330671,40.42868483
3883,1979516,16234268,25,F,O,2016-12-17T02:00:00,"S 21st ST & Sarah ST Pittsburgh, PA 15203",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 5505 Public Drunkenness,"S 21st ST & Sarah ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.97634445,40.4275885
3618,1979179,16229934,35,F,O,2016-12-09T19:50:00,"300 Block Craft AV Pittsburgh, PA 15213",5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"300 Block Craft AV Pittsburgh, PA 15213",South Oakland,4,409,3,3,-79.96134974,40.43534988
2639,1977885,16209305,48,F,O,2016-11-06T02:21:00,"4000 Block Cambronne ST Pittsburgh, PA 15212",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"4000 Block Cambronne ST Pittsburgh, PA 15212",Brighton Heights,1,2701,1,1,-80.0409527,40.48770412
4116,1979813,16237499,16,F,O,2016-12-27T07:49:00,"600 Block 1ST AV PITTSBURGH, PA 15219",5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"2400 Block SHADY AV PITTSBURGH, PA 15217",Squirrel Hill South,4,1408,5,3,-79.92063357,40.43002809
2233,1977315,16183776,40,F,O,2016-09-28T22:08:00,"1500 Block Brighton RD Pittsburgh, PA 15212",2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,"800 Block Arch ST Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00901681,40.45308361
484,1975514,16166955,15,F,O,2016-09-04T19:40:00,"1000 Block Lessing ST Pittsburgh, PA 15205",2701 Simple Assault.,"1000 Block Lessing ST Pittsburgh, PA 15205",Crafton Heights,6,2814,2,5,-80.04968579,40.44391784
4489,1980240,17009303,22,F,O,2017-01-16T00:20:00,"North Commons & Federal ST N Pittsburgh, PA 15212",13(a)(31) Marijuana: Possession Small Amount,"North Commons & Federal ST Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00614067,40.45394151
2177,1977244,16196539,19,F,O,2016-10-17T23:35:00,"400 Block Maple View DR Pittsburgh, PA 15216","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","400 Block Maple View DR Pittsburgh, PA 15216",Banksville,6,2023,2,5,-80.03703433,40.41612726
3320,1978762,16223006,43,F,O,2016-11-28T21:10:00,"300 Block Cedar AV Pittsburgh, PA 15212",3929(a)(4) Retail Theft; under-rings merchandise,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272
2956,1978293,16189723,15,F,O,2016-10-17T14:42:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"2400 Block SHADY AV PITTSBURGH, PA 15217",Squirrel Hill South,4,1408,5,3,-79.92063357,40.43002809
2592,1977828,16203169,16,F,O,2016-11-16T12:11:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"500 Block CRANE AV PITTSBURGH, PA 15216",Beechview,6,1916,4,5,-80.01823348,40.41698861
6366,1982541,17043667,,F,O,2017-03-10T13:45:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"500 Block CRANE AV PITTSBURGH, PA 15216",Beechview,6,1916,4,5,-80.01823348,40.41698861
3338,1978790,16004552,31,F,O,2016-03-03T09:45:00,"600 Block 1st AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"600 Block Liberty AV Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.00162045,40.44177298
842,1974724,16147057,26,F,O,2016-08-07T19:00:00,"1100 Block Round top ST Pittsburgh, PA 15205",13(a)(32) Paraphernalia - Use or Possession,"1100 Block Roundtop ST Pittsburgh, PA 15205",Crafton Heights,6,2815,2,5,-80.05438395,40.4418105
1167,1975940,16170291,40,F,O,2016-09-09T15:44:00,"3600 Block Fraizer ST Pittsburgh, PA 15213",2701 Simple Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"3600 Block Frazier ST Pittsburgh, PA 15213",South Oakland,4,409,3,3,-79.95554337,40.43051529
6772,1983039,17031499,15,F,O,2017-03-02T13:30:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"100 Block PARKFIELD AV PITTSBURGH, PA 15210",Carrick,3,2904,4,4,-79.98734141,40.39125233
6946,1983256,17055035,21,F,O,2017-03-27T16:00:00,"1300 Block Reddour ST Pittsburgh, PA 15212",2701 Simple Assault.,"1300 Block Reddour ST Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00824182,40.45697438
